userId,Champions,Rating
Destiny,thresh,5
Destiny,karma,4.5
Destiny,lulu,4
Destiny,blitzcrank,3.5
Destiny,alistar,3
Destiny,nautilus,2.5
Destiny,rakan,2
sldjsm,akshan,5
sldjsm,yone,4.5
sldjsm,zeri,4
sldjsm,sett,3.5
sldjsm,sylas,3
sldjsm,vex,2.5
sldjsm,leesin,2
DWGKIA,ezreal,5
DWGKIA,caitlyn,4.5
DWGKIA,jhin,4
DWGKIA,samira,3.5
DWGKIA,jinx,3
DWGKIA,aphelios,2.5
DWGKIA,zeri,2
ETERNUMl,graves,5
ETERNUMl,nidalee,4.5
ETERNUMl,karma,4
ETERNUMl,leesin,3.5
ETERNUMl,diana,3
ETERNUMl,nautilus,2.5
ETERNUMl,xinzhao,2
디알엑스태윤,jinx,5
디알엑스태윤,caitlyn,4.5
디알엑스태윤,jhin,4
디알엑스태윤,aphelios,3.5
디알엑스태윤,samira,3
디알엑스태윤,ezreal,2.5
디알엑스태윤,diana,2
whispersnow,ezreal,5
whispersnow,jinx,4.5
whispersnow,aphelios,4
whispersnow,caitlyn,3.5
whispersnow,jhin,3
whispersnow,samira,2.5
whispersnow,kaisa,2
호감에서나오다,aphelios,5
호감에서나오다,jinx,4.5
호감에서나오다,kaisa,4
호감에서나오다,jhin,3.5
호감에서나오다,viktor,3
호감에서나오다,ezreal,2.5
호감에서나오다,caitlyn,2
은가뉴,yasuo,5
은가뉴,yone,4.5
DSADASD,ryze,5
DSADASD,akali,4.5
DSADASD,syndra,4
DSADASD,sylas,3.5
DSADASD,irelia,3
DSADASD,corki,2.5
DSADASD,leblanc,2
lajifuzhu,karma,5
lajifuzhu,nautilus,4.5
lajifuzhu,thresh,4
lajifuzhu,leona,3.5
lajifuzhu,lux,3
lajifuzhu,gragas,2.5
lajifuzhu,rakan,2
Sound0fWinter,diana,5
Sound0fWinter,viego,4.5
Sound0fWinter,xinzhao,4
Sound0fWinter,poppy,3.5
Sound0fWinter,jarvaniv,3
Sound0fWinter,nidalee,2.5
Sound0fWinter,leesin,2
lztxljjianiaijia,aphelios,5
lztxljjianiaijia,ezreal,4.5
lztxljjianiaijia,jinx,4
lztxljjianiaijia,vayne,3.5
lztxljjianiaijia,karma,3
lztxljjianiaijia,samira,2.5
lztxljjianiaijia,ziggs,2
Samver,jhin,5
Samver,jinx,4.5
Samver,samira,4
Samver,ezreal,3.5
Samver,aphelios,3
Samver,kaisa,2.5
Samver,zeri,2
comeonandwin,lulu,5
comeonandwin,rakan,4.5
comeonandwin,yuumi,4
comeonandwin,karma,3.5
comeonandwin,thresh,3
comeonandwin,nautilus,2.5
comeonandwin,leona,2
Honp1,rakan,5
Honp1,pyke,4.5
이차가식기전에,hecarim,5
이차가식기전에,kindred,4.5
이차가식기전에,jarvaniv,4
이차가식기전에,drmundo,3.5
이차가식기전에,nocturne,3
이차가식기전에,leesin,2.5
이차가식기전에,yuumi,2
Canna00,jayce,5
Canna00,graves,4.5
Canna00,jax,4
Canna00,lucian,3.5
Canna00,vex,3
Canna00,fiora,2.5
Canna00,viktor,2
NeverStopMe,leesin,5
NeverStopMe,viego,4.5
NeverStopMe,nautilus,4
NeverStopMe,nidalee,3.5
NeverStopMe,leona,3
NeverStopMe,karma,2.5
NeverStopMe,hecarim,2
TwitchTv근성맨,rumble,5
TwitchTv근성맨,sion,4.5
TwitchTv근성맨,malphite,4
어리고싶다,graves,5
어리고싶다,jayce,4.5
어리고싶다,akshan,4
어리고싶다,akali,3.5
어리고싶다,yone,3
어리고싶다,fiora,2.5
어리고싶다,camille,2
zhanglangeba,vex,5
zhanglangeba,akali,4.5
zhanglangeba,qiyana,4
zhanglangeba,sylas,3.5
zhanglangeba,viktor,3
zhanglangeba,yone,2.5
zhanglangeba,syndra,2
Z7xZ7,viktor,5
Z7xZ7,vex,4.5
Z7xZ7,akshan,4
Z7xZ7,zeri,3.5
Z7xZ7,veigar,3
Z7xZ7,zoe,2.5
Z7xZ7,aatrox,2
qazesc,twistedfate,5
qazesc,zoe,4.5
qazesc,syndra,4
qazesc,viktor,3.5
qazesc,corki,3
qazesc,orianna,2.5
qazesc,jayce,2
HLEWiller1,gwen,5
HLEWiller1,leesin,4.5
HLEWiller1,xinzhao,4
HLEWiller1,nidalee,3.5
HLEWiller1,diana,3
HLEWiller1,viego,2.5
HLEWiller1,jayce,2
이렐아칼리,irelia,5
이렐아칼리,akali,4.5
나는개선할것이다,jayce,5
나는개선할것이다,graves,4.5
나는개선할것이다,tryndamere,4
나는개선할것이다,camille,3.5
나는개선할것이다,jax,3
나는개선할것이다,irelia,2.5
나는개선할것이다,ryze,2
IgNar,karma,5
IgNar,nautilus,4.5
IgNar,lux,4
IgNar,lulu,3.5
IgNar,rakan,3
IgNar,thresh,2.5
IgNar,blitzcrank,2
갱붕이,tryndamere,5
갱붕이,akali,4.5
갱붕이,vayne,4
갱붕이,nasus,3.5
갱붕이,veigar,3
갱붕이,jax,2.5
갱붕이,viktor,2
trimester,qiyana,5
trimester,leblanc,4.5
trimester,vex,4
trimester,syndra,3.5
trimester,zoe,3
trimester,sylas,2.5
trimester,akali,2
쪼렙이다말로하자,zoe,5
쪼렙이다말로하자,leblanc,4.5
쪼렙이다말로하자,ahri,4
쪼렙이다말로하자,lulu,3.5
쪼렙이다말로하자,karma,3
쪼렙이다말로하자,orianna,2.5
쪼렙이다말로하자,janna,2
칼과창방패,poppy,5
칼과창방패,warwick,4.5
칼과창방패,ekko,4
칼과창방패,renekton,3.5
칼과창방패,sylas,3
칼과창방패,shen,2.5
칼과창방패,sett,2
Wittmid,zoe,5
Wittmid,lulu,4.5
Wittmid,leblanc,4
Wittmid,ezreal,3.5
Wittmid,jhin,3
Wittmid,syndra,2.5
Wittmid,karma,2
DKSharvel,qiyana,5
DKSharvel,kayn,4.5
DKSharvel,talon,4
DKSharvel,diana,3.5
DKSharvel,viego,3
DKSharvel,karthus,2.5
DKSharvel,gwen,2
BringMeLove,thresh,5
BringMeLove,nautilus,4.5
BringMeLove,blitzcrank,4
BringMeLove,morgana,3.5
BringMeLove,rakan,3
BringMeLove,xerath,2.5
BringMeLove,taric,2
커피물조절장인,rumble,5
커피물조절장인,renekton,4.5
커피물조절장인,kennen,4
커피물조절장인,tahmkench,3.5
커피물조절장인,vayne,3
커피물조절장인,elise,2.5
커피물조절장인,karthus,2
Epilogueforu,viego,5
Epilogueforu,leesin,4.5
Epilogueforu,xinzhao,4
Epilogueforu,sett,3.5
Epilogueforu,kayn,3
Epilogueforu,sylas,2.5
Epilogueforu,jarvaniv,2
누쇤퍅,jhin,5
누쇤퍅,aphelios,4.5
누쇤퍅,leesin,4
