Champions,Position(s),Resource,Rangetype,Adaptivetype,Popularity,Gold,Minions,Wards,DamageDealt,KDA_kills,KDA_deaths,KDA_assists
aatrox,TopMiddle,Manaless(BloodWell),Melee,Physical,5.20%,"10,804",164.9,7.7,"19,100",5.7,5.7,6
ahri,Middle,Mana,Ranged,Magic,5.20%,"10,858",160.3,9.8,"19,146",6.2,5.4,7.8
akali,TopMiddle,Energy,Melee,Physical,5.90%,"10,786",151.1,7.9,"19,521",7.5,6,5.1
akshan,Middle,Mana,Ranged,Physical,9.70%,"12,175",163.9,8.3,"21,382",8.9,6.7,6
alistar,Support,Mana,Melee,Magic,5.70%,"7,378",32.6,22.7,"7,094",1.7,6.1,13.6
amumu,Jungle,Mana,Melee,Magic,8.60%,"10,466",135.1,7.4,"14,506",5,6.1,11
anivia,Middle,Mana,Ranged,Magic,4.40%,"11,201",167.3,10.9,"18,588",6.1,5.6,7.5
annie,Middle,Mana,Ranged,Magic,2.80%,"10,799",146.4,9.8,"19,982",6.6,6.2,7.9
aphelios,Bottom,Mana,Ranged,Physical,8.70%,"11,579",186.7,8.1,"19,341",6.6,6.2,6.3
ashe,Bottom,Mana,Ranged,Physical,18.00%,"11,063",171.8,8.8,"17,412",5.6,5.8,9.3
aurelionSol,Middle,Mana,Ranged,Magic,0.80%,"10,788",162.4,9.4,"18,900",6,6.1,9.3
azir,Middle,Mana,Ranged,Magic,2.00%,"11,022",181.8,9.1,"19,215",5.4,6,6.8
bard,Support,Mana,Ranged,Magic,4.50%,"8,061",24.9,29.7,"10,230",2.5,5.7,14.2
blitzcrank,Support,Mana,Melee,Magic,7.80%,"7,617",33.3,23.5,"8,501",2.3,5.9,12.7
brand,Support,Mana,Ranged,Magic,5.00%,"9,991",67.6,23.8,"22,221",5.5,8.1,9.4
braum,Support,Mana,Melee,Magic,4.90%,"7,530",33.3,23.7,"7,515",1.5,5.6,14.7
caitlyn,Bottom,Mana,Ranged,Physical,11.40%,"11,995",188.3,8.5,"19,737",6.8,6,7.1
camille,TopMiddle,Mana,Melee,Physical,11.80%,"10,963",159.9,8,"18,985",6.2,5.9,5.9
cassiopeia,MiddleTopBottom,Mana,Ranged,Magic,4.70%,"11,677",189.6,9.3,"20,591",6.9,6.4,6.1
cho'Gath,TopMiddle,Mana,Melee,Magic,2.40%,"10,914",163.8,8.5,"17,011",5.6,5.6,6.6
corki,Middle,Mana,Ranged,Physical,2.30%,"12,537",196.9,9,"24,619",7.7,6.1,7
darius,Top,Mana,Melee,Physical,6.60%,"11,611",180.1,8.1,"17,320",6.6,6.1,4.7
diana,Middle,Mana,Melee,Magic,9.00%,"11,695",170.9,5.9,"19,135",7.3,6.4,7.2
drmundo,TopJungle,Healthcosts,Melee,Physical,3.70%,"11,093",174.3,8.2,"20,342",4.8,5.2,7
draven,Bottom,Mana,Ranged,Physical,6.30%,"12,790",186.9,7.5,"20,415",7.7,6.6,6.1
ekko,JungleMiddle,Mana,Melee,Magic,15.60%,"11,500",163.1,5.3,"18,555",7.8,5.6,6.8
elise,Jungle,Mana,Ranged,Magic,3.10%,"10,338",126.4,6,"15,796",6.9,5.7,7.6
evelynn,Jungle,Mana,Melee,Magic,5.40%,"11,379",140.1,6.5,"20,944",9.2,5.8,6.8
ezreal,Bottom,Mana,Ranged,Physical,24.80%,"11,441",182.2,8.5,"22,181",6.4,5.3,7.2
fiddlesticks,Jungle,Mana,Ranged,Magic,5.20%,"10,824",151.4,4.8,"17,314",6,5.7,9.3
fiora,Top,Mana,Melee,Physical,8.20%,"11,586",177.3,7.8,"19,179",6.3,6,4.4
fizz,Middle,Mana,Melee,Magic,3.60%,"11,292",154.7,7.1,"18,291",8.2,5.9,5.9
